ÆÐÅ°Áö
quanteda
corpustools
sylly
corpus
tidytext
tau
fastrtext
pubmed.mineR
textshape
htm2txt
pdftools
chinese.misc
textmineR
text2vec
RcmdrPlugin.temis
preText
Robocoap
chunked
tmcn
unrtf
striprtf
textTinyR
Xplortext
readtext
geoparser
monkeylearn
readr
fastTextR
lexRankr
textreadr
antiword
lexicon
koRpus
CSeqpat
textreg
sentimentr
readOffice
syuzhet
tm
inpdfr
textstem
textclean
textcat
decoder
rLDCP
tm.plugin.factiva
arabicStemR
textutils
CTM
textreuse
diffrprojects
rtext
jiebaR
textmining
iemisctext
tokenizers
Rtextrankr
tm.plugin.europresse
AhoCorasickTrie
scientoText
ANLP
mscstexta4r
concatenate
RNewsflow
connect3
franc
Rtts
NostalgiR
tm.plugin.dc
textir
textometry
orgR
DeducerText
tm.plugin.alceste
tm.plugin.mail
RTextureMetrics
RTextTools
maxent
rtf
BlockMessage
StandardizeText
txtplot
